History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Page
≡,BRK.B - Berkshire Hathaway CL B,16.86,Add 3.06%,246664,$485.77,"$119,822,000",,$485.31,-0.09%,$437.90,$542.07,Christopher Bloomstran - Semper Augustus,1
≡,DG - Dollar General,14.91,Add 2.09%,926119,$114.38,"$105,929,000",,$112.78,-1.40%,$65.67,$123.68,Christopher Bloomstran - Semper Augustus,1
≡,BRK.A - Berkshire Hathaway CL A,11.9,,116,$728801.72,"$84,541,000",,$727200.00,-0.22%,$657497.50,$812855.00,Christopher Bloomstran - Semper Augustus,1
≡,DLTR - Dollar Tree Inc.,7.06,Add 2.64%,506396,$99.04,"$50,153,000",,$112.48,13.57%,$60.49,$118.06,Christopher Bloomstran - Semper Augustus,1
≡,KGC - Kinross Gold Corp.,6.79,Reduce 31.51%,3086724,$15.63,"$48,245,000",,$18.70,19.64%,$8.25,$19.52,Christopher Bloomstran - Semper Augustus,1
≡,FIVE - Five Below Inc.,5.96,Add 310.36%,322806,$131.18,"$42,346,000",,$141.48,7.85%,$52.38,$143.88,Christopher Bloomstran - Semper Augustus,1
≡,NEM - Newmont Corp.,5.56,Add 2.35%,678145,$58.26,"$39,509,000",,$67.38,15.65%,$36.47,$70.29,Christopher Bloomstran - Semper Augustus,1
≡,VLO - Valero Energy,3.76,Add 4.31%,198707,$134.42,"$26,710,000",,$137.93,2.61%,$97.37,$153.86,Christopher Bloomstran - Semper Augustus,1
≡,SBUX - Starbucks Corp.,3.08,Add 3.18%,239081,$91.63,"$21,907,000",,$90.93,-0.76%,$74.48,$115.87,Christopher Bloomstran - Semper Augustus,1
≡,DECK - Deckers Outdoor,3.05,Buy,210523,$103.07,"$21,699,000",,$105.52,2.38%,$93.72,$223.98,Christopher Bloomstran - Semper Augustus,1
≡,PARA-OLD - Paramount Global CL B,3.05,Add 3.00%,1681694,$12.90,"$21,694,000",,$11.04,-14.42%,$9.78,$13.59,Christopher Bloomstran - Semper Augustus,1
≡,ALK - Alaska Air Group,2.59,Add 7.88%,372013,$49.48,"$18,407,000",,$57.12,15.44%,$34.44,$78.08,Christopher Bloomstran - Semper Augustus,1
≡,DIS - Walt Disney Co.,2.52,Add 3.29%,144397,$124.01,"$17,907,000",,$116.27,-6.24%,$79.76,$124.69,Christopher Bloomstran - Semper Augustus,1
≡,OLN - Olin Corp.,2.25,Add 13.52%,797436,$20.09,"$16,020,000",,$21.29,5.97%,$17.50,$48.53,Christopher Bloomstran - Semper Augustus,1
≡,DINO - HF Sinclair Corp.,2.02,Add 16.59%,348934,$41.08,"$14,334,000",,$45.55,10.88%,$24.33,$47.89,Christopher Bloomstran - Semper Augustus,1
≡,CMI - Cummins Inc.,1.85,,40039,$327.51,"$13,113,000",,$402.21,22.81%,$258.55,$408.38,Christopher Bloomstran - Semper Augustus,1
≡,EQNR - Equinor ASA,1.8,Add 4.09%,510218,$25.14,"$12,827,000",,$23.85,-5.13%,$20.24,$27.84,Christopher Bloomstran - Semper Augustus,1
≡,XOM - Exxon Mobil Corp.,0.86,Add 1.00%,56833,$107.81,"$6,127,000",,$107.42,-0.36%,$96.01,$121.93,Christopher Bloomstran - Semper Augustus,1
≡,TRV - Travelers Companies Inc.,0.72,Reduce 4.47%,19255,$267.51,"$5,151,000",,$268.87,0.51%,$211.81,$276.69,Christopher Bloomstran - Semper Augustus,1
≡,COST - Costco Co.,0.52,Reduce 11.24%,3768,$989.92,"$3,730,000",,$980.85,-0.92%,$862.73,$1075.34,Christopher Bloomstran - Semper Augustus,1
≡,MRK - Merck & Co.,0.5,,44443,$79.16,"$3,518,000",,$84.93,7.29%,$72.58,$116.37,Christopher Bloomstran - Semper Augustus,1
≡,NXPI - NXP Semiconductors NV,0.42,,13558,$218.47,"$2,962,000",,$229.27,4.94%,$147.40,$254.98,Christopher Bloomstran - Semper Augustus,1
≡,GE - GE Aerospace,0.34,Reduce 4.98%,9352,$257.38,"$2,407,000",,$265.93,3.32%,$158.81,$281.50,Christopher Bloomstran - Semper Augustus,1
≡,GEV - Ge Vernova Inc,0.26,Reduce 8.08%,3436,$529.10,"$1,818,000",,$603.13,13.99%,$172.73,$677.29,Christopher Bloomstran - Semper Augustus,1
≡,AXP - American Express,0.2,,4432,$319.04,"$1,414,000",,$306.10,-4.06%,$219.87,$329.14,Christopher Bloomstran - Semper Augustus,1
≡,GLDM - SPDR Gold Minishares Trust,0.16,Add 4.82%,17001,$65.53,"$1,114,000",,$65.65,0.18%,$48.95,$68.26,Christopher Bloomstran - Semper Augustus,1
≡,KO - Coca Cola Co.,0.16,Reduce 28.99%,15622,$70.73,"$1,105,000",,$70.13,-0.85%,$59.75,$73.85,Christopher Bloomstran - Semper Augustus,1
≡,SMHI - SEACOR Marine Holdings Inc.,0.15,,211480,$5.10,"$1,079,000",,$6.08,19.22%,$3.63,$11.67,Christopher Bloomstran - Semper Augustus,1
≡,CVX - Chevron Corp.,0.13,Add 3.67%,6389,$143.21,"$915,000",,$152.00,6.14%,$129.01,$165.09,Christopher Bloomstran - Semper Augustus,1
≡,AAPL - Apple Inc.,0.12,,4140,$205.07,"$849,000",,$230.56,12.43%,$168.80,$259.18,Christopher Bloomstran - Semper Augustus,1
≡,SGOV - Ishares 0 3 Month Treasury B,0.12,Reduce 23.32%,8128,$100.64,"$818,000",,$100.58,-0.06%,$96.20,$100.59,Christopher Bloomstran - Semper Augustus,1
≡,OVV - Ovintiv Inc.,0.09,,16487,$38.03,"$627,000",,$38.53,1.31%,$29.58,$46.13,Christopher Bloomstran - Semper Augustus,1
≡,PHYS - Sprott Physical Gold Trust,0.09,,23869,$25.35,"$605,000",,$25.43,0.32%,$19.22,$26.42,Christopher Bloomstran - Semper Augustus,1
≡,GEHC - GE HealthCare Technologies Inc.,0.05,,4581,$74.00,"$339,000",,$73.97,-0.04%,$57.59,$94.71,Christopher Bloomstran - Semper Augustus,1
